Match Number,HTGD,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,FGS-0,FGS-1,Match_O
516,1,0,0,11,22,0,57,0,1,Draw
517,0,0,0,22,25,65,60,1,0,Loss
518,0,0,0,19,20,0,36,0,0,Draw
519,3,0,0,15,12,39,0,0,1,Win
520,2,0,0,19,13,40,58,0,1,Win
521,0,0,0,18,31,46,87,0,0,Draw
522,0,0,0,23,16,57,43,1,0,Loss
523,-1,0,0,36,18,85,49,1,0,Draw
524,0,0,0,19,29,42,83,1,0,Draw
525,1,0,0,28,20,60,37,1,0,Win
526,0,0,0,37,26,76,0,1,0,Draw
527,0,0,0,18,22,55,65,1,0,Loss
528,1,0,0,20,23,37,57,0,1,Win
529,1,0,0,21,20,36,42,0,1,Win
530,0,0,0,12,18,0,55,0,0,Win
531,0,0,0,19,19,43,46,0,1,Win
532,0,0,0,30,38,83,76,0,1,Draw
533,3,0,0,13,20,58,0,0,1,Win
534,0,0,1,25,37,65,85,0,0,Draw
535,0,0,0,20,32,0,87,1,0,Loss
536,2,0,0,38,15,85,0,0,1,Win
537,1,0,0,23,19,57,49,0,1,Loss
538,0,0,0,19,24,46,36,0,0,Draw
539,1,0,0,39,23,76,37,0,1,Win
540,4,0,0,18,27,55,0,0,1,Win
541,0,0,0,20,26,42,65,1,0,Loss
542,0,0,0,21,16,39,58,0,0,Draw
543,1,0,0,22,22,40,43,0,1,Win
544,-1,0,0,23,25,37,40,1,0,Loss
545,0,0,0,35,20,87,42,0,0,Win
546,-1,0,0,22,42,43,76,1,0,Loss
547,0,0,0,32,23,83,57,0,0,Win
548,1,0,0,38,42,87,85,0,1,Win
549,2,0,0,38,18,60,0,0,1,Win
550,0,0,0,35,23,83,37,0,0,Win
551,2,0,0,32,27,65,0,0,1,Win
552,1,0,0,20,22,42,39,0,1,Draw
553,0,0,0,23,26,39,36,0,0,Win
554,-2,1,0,21,47,0,87,1,0,Loss
555,-1,0,0,24,44,57,60,1,0,Loss
556,3,0,0,21,21,46,0,0,1,Win
557,0,0,0,46,35,76,65,0,0,Draw
558,0,0,0,26,26,49,36,0,1,Win
559,0,0,0,20,23,46,57,1,0,Draw
560,0,0,0,18,23,58,43,0,0,Win
561,0,0,0,23,44,37,87,1,0,Loss
562,0,0,0,42,21,85,0,1,0,Win
563,0,0,0,22,31,55,40,0,0,Win
564,1,0,0,23,41,39,60,0,1,Loss
565,1,0,0,18,21,0,42,0,1,Win
566,-1,0,0,27,38,0,83,1,0,Loss
567,1,0,0,41,31,87,40,0,1,Win
568,0,0,0,28,20,40,46,0,0,Win
569,0,0,0,45,21,85,42,0,0,Win
570,1,0,0,25,23,55,43,0,1,Win
571,-1,0,0,31,47,40,76,1,0,Draw
572,-2,0,0,21,23,58,37,1,0,Win
573,0,0,0,36,41,65,83,0,0,Draw
574,1,0,0,26,24,36,57,0,1,Win
575,1,1,0,21,28,0,55,0,1,Win
576,0,0,0,42,32,83,49,0,0,Draw
577,0,0,0,47,32,60,40,0,0,Draw
578,1,0,0,24,24,37,46,0,1,Win
579,1,0,0,27,21,0,0,0,1,Draw
580,0,0,0,21,22,42,58,0,0,Draw
581,1,0,0,50,37,87,65,0,1,Win
582,-1,0,0,23,26,43,39,1,0,Draw
583,0,0,0,48,48,76,85,0,0,Win
584,-2,0,0,22,24,0,43,1,0,Loss
585,0,0,0,33,29,40,36,0,0,Draw
586,0,0,0,24,51,57,76,0,0,Loss
587,2,0,0,56,30,87,36,0,1,Win
588,0,0,0,24,31,57,55,0,0,Win
589,0,0,1,24,43,46,83,0,0,Draw
590,0,0,0,33,53,49,87,1,0,Loss
591,0,0,0,28,22,55,42,0,0,Win
592,-1,0,0,23,48,58,60,1,0,Loss
593,0,0,0,48,28,85,0,0,0,Draw
594,1,0,0,37,27,65,37,0,1,Win
595,0,0,0,27,24,39,0,0,0,Win
596,-1,0,0,51,49,60,85,1,0,Loss
597,0,0,0,44,30,83,39,0,0,Draw
598,2,0,0,27,33,37,49,0,1,Win
599,0,0,0,22,34,42,40,0,0,Draw
600,0,0,0,24,27,0,57,1,0,Draw
601,0,0,0,59,23,87,58,0,1,Win
602,0,0,0,54,31,76,55,1,0,Draw
603,0,1,0,27,40,43,65,0,0,Draw
604,1,0,0,41,22,65,0,0,1,Win
605,0,0,0,45,33,83,36,0,0,Draw
606,1,0,0,52,35,85,40,0,1,Win
607,1,0,0,23,55,42,76,0,1,Win
608,0,0,0,29,25,0,46,1,0,Loss
609,0,0,0,30,22,36,0,0,0,Win
610,-2,0,0,29,23,0,58,1,0,Loss
611,0,0,0,33,32,49,55,0,0,Win
612,0,0,0,30,28,37,43,0,0,Win
613,1,0,0,51,25,60,0,0,1,Draw
614,0,0,0,28,55,57,85,1,0,Loss
615,1,0,0,34,27,36,58,0,1,Loss
616,1,0,0,31,31,39,46,0,1,Draw
617,1,0,0,32,52,55,60,0,1,Win
618,0,0,0,28,62,43,87,0,1,Loss
619,1,0,0,26,33,0,37,0,1,Win
620,-1,0,1,35,36,40,49,1,0,Loss
621,0,0,0,26,44,58,65,0,0,Draw
622,0,0,0,34,29,36,0,1,0,Loss
623,3,0,0,28,26,46,42,0,1,Win
624,-1,0,0,65,58,87,76,0,1,Loss
625,1,0,0,49,30,83,58,0,1,Win
626,0,0,0,33,34,37,36,1,0,Loss
627,2,0,0,45,29,65,0,0,1,Win
628,0,0,0,32,28,0,43,0,1,Draw
629,-1,0,0,26,28,42,57,1,0,Draw
630,-1,0,0,32,35,39,40,1,0,Loss
631,1,0,0,58,35,85,55,0,1,Win
632,0,0,0,39,22,49,0,0,0,Draw
633,0,0,0,29,27,0,42,0,0,Win
634,0,0,0,35,61,46,85,0,0,Win
635,0,0,0,23,33,0,37,1,0,Draw
636,-1,0,0,31,38,58,46,1,0,Win
637,1,0,0,55,38,83,55,0,1,Win
638,1,0,0,34,27,37,42,0,1,Win
639,0,0,0,33,32,0,57,0,0,Draw
640,0,0,0,29,61,43,85,1,0,Loss
641,-1,0,0,24,32,0,0,1,0,Loss
642,1,0,0,41,32,49,39,0,1,Win
643,0,0,0,40,64,36,76,1,0,Loss
644,0,0,0,38,33,40,0,0,0,Win
645,1,0,1,35,32,55,39,0,1,Win
646,3,0,0,61,52,76,60,0,1,Win
647,0,0,0,29,48,57,65,1,0,Win
648,-1,0,0,30,40,58,49,1,0,Draw
649,1,0,1,37,65,36,87,0,1,Win
650,1,0,0,48,41,65,40,0,1,Win
651,1,0,0,33,24,57,0,0,1,Draw
652,-1,0,0,32,68,39,87,1,0,Loss
653,0,0,0,38,44,46,49,0,0,Win
654,1,0,0,41,58,40,83,0,1,Loss
655,-1,0,0,52,51,60,65,1,0,Draw
656,1,0,0,38,40,55,36,0,1,Loss
657,2,0,0,67,34,76,58,0,1,Win
658,1,0,0,64,37,85,37,0,1,Win
659,1,0,0,27,34,42,0,0,1,Win
660,1,0,0,38,25,55,0,0,1,Win
661,1,0,0,53,44,60,49,0,1,Draw
662,0,0,0,30,43,42,36,0,0,Draw
663,0,0,0,34,37,57,37,0,0,Win
664,-1,0,0,70,61,76,83,1,0,Draw
665,1,0,0,41,30,46,43,0,1,Win
666,0,0,0,67,52,85,65,0,0,Draw
667,1,0,0,71,37,87,57,0,1,Win
668,-1,0,0,37,54,37,60,1,0,Draw
669,-1,0,0,53,41,65,55,1,0,Loss
670,1,0,0,44,39,36,0,0,1,Win
671,-1,0,0,34,71,0,76,1,0,Loss
672,1,0,0,25,35,0,39,0,1,Win
673,0,0,0,45,68,49,85,1,0,Draw
674,-2,0,0,74,44,87,46,1,0,Win
675,1,0,0,62,31,83,42,0,1,Win
676,1,0,0,34,41,58,40,0,1,Win
677,0,0,0,30,37,43,57,0,0,Draw
678,-1,0,0,39,45,0,49,1,0,Loss
679,1,0,0,44,28,46,0,0,1,Win
680,0,0,0,41,38,40,37,0,0,Draw
681,2,0,0,74,31,76,43,0,1,Win
682,0,0,0,35,53,39,65,1,0,Loss
683,-1,0,0,31,77,42,87,1,0,Loss
684,1,0,0,71,47,85,36,0,1,Win
685,3,0,0,44,37,55,58,0,1,Win
686,-2,0,0,38,65,57,83,1,0,Loss
687,1,0,0,55,34,60,0,0,1,Win
688,-1,0,0,34,39,0,0,1,0,Loss
689,0,0,0,28,42,0,40,0,1,Win
690,-2,0,0,48,77,49,76,1,0,Loss
691,2,0,0,80,47,87,55,0,1,Win
692,-2,0,0,68,74,83,85,1,0,Loss
693,1,0,0,37,38,58,57,0,1,Win
694,0,0,0,39,35,37,39,0,0,Draw
695,0,0,0,56,47,65,46,0,0,Draw
696,0,0,0,47,58,36,60,0,1,Win
697,0,0,0,31,31,43,42,1,0,Win
698,1,0,0,42,83,40,87,0,1,Loss
699,1,0,0,40,34,37,0,0,1,Draw
700,0,0,1,57,48,65,49,1,0,Win
701,1,0,0,31,58,42,60,0,1,Draw
702,-1,0,0,34,50,43,36,1,0,Loss
703,0,0,0,42,42,0,40,0,0,Win
704,1,0,0,48,47,46,55,0,1,Win
705,-1,0,0,31,80,0,76,1,0,Loss
706,1,0,0,77,40,85,58,0,1,Win
707,0,0,0,86,68,87,83,0,0,Draw
708,0,0,0,38,36,57,39,1,0,Win
709,1,0,0,7,6,0,65,0,1,Draw
710,2,0,0,6,6,55,57,0,1,Win
711,0,0,0,1,4,46,40,0,0,Draw
712,0,0,0,12,8,83,0,0,0,Loss
713,-2,0,0,4,7,43,58,1,0,Loss
714,-1,0,0,4,11,0,85,1,0,Loss
715,-1,0,0,10,8,58,87,1,0,Loss
716,0,0,0,7,6,0,36,0,0,Win
717,0,0,0,8,6,40,42,1,0,Loss
718,0,0,0,7,10,37,58,0,0,Draw
719,0,0,0,6,8,36,39,0,0,Draw
720,-1,0,0,17,8,76,40,1,0,Win
721,0,0,0,11,10,87,0,0,0,Win
722,0,0,0,13,7,57,36,0,0,Draw
723,1,0,0,2,8,46,37,0,1,Win
724,0,0,0,12,16,49,83,1,0,Loss
725,-1,0,0,8,14,40,60,1,0,Loss
726,0,0,0,23,24,60,87,0,0,Draw
727,1,0,0,18,21,57,0,0,1,Draw
728,0,0,0,14,11,0,0,0,0,Win
729,0,0,0,33,17,76,49,0,0,Draw
730,0,0,0,28,15,87,39,0,0,Win
731,0,0,0,19,31,49,60,1,0,Loss
732,0,0,0,27,18,0,39,1,0,Loss
733,-1,0,0,34,31,60,83,1,0,Draw
734,1,0,0,17,21,58,55,0,1,Draw
735,2,0,0,29,22,65,39,0,1,Win
736,1,0,0,25,41,36,85,0,1,Draw
737,0,0,1,15,20,0,46,0,0,Win
738,-1,0,0,22,20,49,0,1,0,Win
739,0,0,0,27,35,0,60,1,0,Loss
740,0,0,0,20,45,0,76,0,0,Draw
741,0,0,0,22,25,43,49,0,1,Draw
742,1,0,0,29,27,49,0,0,1,Win
743,-2,0,0,22,46,0,83,1,0,Loss
744,0,0,0,55,31,76,39,0,0,Win
745,-1,0,0,52,32,60,46,1,0,Loss
746,0,0,0,29,52,43,83,1,0,Loss
747,0,0,0,65,52,87,60,0,1,Win
748,1,0,0,35,29,0,43,0,1,Draw
749,0,0,0,36,34,0,58,0,0,Win
750,1,0,0,32,34,39,0,0,1,Win
751,3,0,0,69,45,83,0,0,1,Win
752,1,0,0,59,34,60,43,0,1,Win
753,0,0,0,40,31,58,0,0,0,Draw
754,-1,0,0,53,60,36,65,1,0,Loss
755,-1,0,0,35,87,0,87,1,0,Loss
756,1,0,0,83,51,76,46,0,1,Win
757,1,0,0,47,41,55,37,0,1,Win
758,0,0,0,36,80,39,85,1,0,Loss
759,1,0,0,48,32,49,42,0,1,Win
760,1,0,0,42,41,40,57,0,1,Win
761,1,0,0,0,0,90,0,0,1,Win
762,1,0,0,0,0,51,86,0,1,Win
763,0,0,0,0,0,83,35,1,0,Win
764,-1,0,0,0,0,62,45,1,0,Loss
765,-1,0,0,0,0,41,50,1,0,Loss
766,-1,0,0,0,0,41,36,1,0,Loss
767,-1,0,0,0,0,41,53,1,0,Loss
768,2,0,0,0,0,45,0,0,1,Win
769,-1,0,0,0,0,0,51,1,0,Loss
770,-3,0,0,0,0,63,72,1,0,Loss
771,1,0,0,3,3,36,83,0,1,Loss
772,-1,0,0,3,0,45,0,1,0,Loss
773,0,0,0,0,0,0,41,0,0,Win
774,0,0,0,0,3,0,90,0,1,Draw
775,-2,0,0,0,3,35,51,1,0,Loss
776,2,0,0,0,3,86,45,0,1,Win
777,1,0,0,3,0,72,41,0,1,Win
778,0,0,0,3,3,0,45,0,0,Draw
779,0,0,0,0,0,35,41,0,0,Win
780,1,0,0,3,3,50,0,0,1,Win
781,0,0,0,3,0,36,41,1,0,Win
782,0,0,0,3,3,45,90,1,0,Loss
783,0,0,0,3,6,51,51,0,0,Loss
784,1,0,0,3,0,0,63,0,1,Draw
785,-1,0,0,3,6,53,83,1,0,Loss
786,-2,0,0,3,0,86,62,1,0,Loss
787,1,0,0,9,6,83,0,0,1,Win
788,0,0,0,0,3,41,51,0,0,Draw
789,0,0,0,0,3,41,86,0,1,Loss
790,1,0,0,4,6,45,36,0,1,Win
791,0,0,0,9,4,51,0,0,0,Win
792,-1,0,0,3,3,0,35,1,0,Draw
793,-1,0,0,6,6,90,72,1,0,Win
794,-1,0,0,0,6,41,50,1,0,Loss
795,0,0,0,0,3,63,45,1,0,Win
796,1,0,0,3,3,62,53,0,1,Win
797,0,0,0,7,12,45,83,0,1,Loss
798,0,0,0,6,4,36,35,0,1,Win
799,0,0,0,3,4,45,51,0,0,Win
800,-1,0,0,12,9,51,90,0,1,Loss
801,0,0,0,4,6,0,62,1,0,Loss
802,-1,0,0,3,3,53,63,1,0,Win
803,1,0,0,1,4,41,0,0,1,Win
804,2,0,0,6,6,86,0,0,1,Win
805,1,0,0,9,6,50,72,0,1,Win
806,-1,0,0,0,0,41,41,1,0,Loss
807,0,0,0,6,9,0,36,0,1,Win
808,1,0,0,6,6,72,45,0,1,Win
809,0,0,0,12,12,90,50,0,1,Win
810,1,0,0,4,6,0,53,0,1,Win
811,-1,0,0,0,6,41,63,1,0,Loss
812,-1,0,0,7,4,0,41,1,0,Loss
813,0,0,0,4,12,41,62,1,0,Win
814,1,0,0,12,4,86,35,0,1,Win
815,0,0,0,8,15,45,90,1,0,Loss
816,1,0,0,12,4,50,51,0,1,Win
817,1,0,0,9,7,36,0,0,1,Win
818,0,0,0,7,15,41,51,0,1,Draw
819,0,0,0,9,7,0,0,0,0,Win
820,0,0,0,4,9,35,45,0,0,Win
821,-1,0,0,7,0,0,41,1,0,Loss
822,-1,0,0,18,12,90,36,1,0,Draw
823,1,0,0,12,7,72,41,1,0,Win
824,0,0,0,9,8,63,45,1,0,Draw
825,1,0,1,4,6,51,53,0,1,Draw
826,0,0,0,18,15,83,86,0,0,Win
827,1,0,0,12,15,62,50,0,1,Draw
828,0,0,0,10,7,63,0,1,0,Draw
829,0,0,0,13,21,62,83,1,0,Win
830,1,0,0,15,7,72,0,0,1,Win
831,1,0,0,7,7,53,35,0,1,Win
832,2,0,0,7,12,41,0,1,0,Win
833,1,0,0,9,16,45,50,0,1,Draw
834,0,0,0,8,16,0,62,1,0,Draw
835,1,0,0,7,16,0,36,0,1,Win
836,0,0,0,12,10,0,45,0,1,Loss
837,0,0,0,7,3,35,41,0,0,Draw
838,0,0,0,19,12,51,45,1,0,Loss
839,1,0,0,21,10,83,41,0,1,Win
840,1,0,0,8,11,41,63,0,1,Win
841,0,0,0,15,22,86,90,0,0,Win
842,0,0,0,17,10,50,53,0,0,Draw
843,-2,0,0,5,18,51,72,1,0,Draw
844,1,0,0,11,17,63,62,0,1,Draw
845,0,0,0,11,18,53,86,0,1,Win
846,2,0,0,4,13,41,45,0,1,Win
847,2,0,0,15,9,45,0,0,1,Draw
848,1,0,0,12,8,0,35,0,1,Win
849,1,0,0,7,18,51,62,0,1,Draw
850,0,0,0,10,18,0,50,0,0,Win
851,2,0,0,19,19,72,51,0,1,Win
852,-1,1,0,11,24,41,83,1,0,Loss
853,1,0,0,18,11,62,41,0,1,Win
854,-1,0,0,10,7,41,41,1,0,Win
855,-1,0,0,19,15,50,0,1,0,Draw
856,1,0,0,19,17,51,36,0,1,Win
857,-3,0,0,10,22,0,72,1,0,Loss
858,-1,0,0,8,16,35,45,1,0,Win
859,-1,0,0,10,12,51,63,1,0,Loss
860,0,0,0,13,14,45,53,0,1,Draw
861,0,0,0,27,25,83,90,0,0,Win
862,-1,0,0,18,11,86,0,0,1,Draw
863,0,0,0,19,20,86,50,0,0,Draw
864,1,0,0,12,15,0,53,0,1,Win
865,1,0,0,16,21,0,62,0,1,Draw
866,-1,0,0,11,13,41,41,1,0,Loss
867,1,0,0,22,14,51,45,0,1,Win
868,-1,0,0,16,7,45,41,1,0,Draw
869,1,0,0,15,16,53,41,0,1,Win
870,3,0,0,12,15,35,63,0,1,Win
871,0,0,0,7,28,41,90,1,0,Loss
872,3,0,0,11,17,51,0,0,1,Win
873,0,0,0,14,20,45,36,0,0,Win
874,1,0,0,22,25,62,51,0,1,Draw
875,-1,0,0,10,15,0,0,1,0,Loss
876,-1,0,0,15,20,63,86,1,0,Loss
877,-2,0,0,25,33,72,83,1,0,Loss
878,0,0,0,16,19,41,45,0,0,Draw
879,-1,0,0,18,11,53,41,1,0,Draw
880,1,0,0,21,15,50,35,0,1,Draw
881,2,0,0,25,20,72,45,0,1,Win
882,2,0,0,23,16,62,35,0,1,Win
883,0,0,0,17,23,41,86,0,0,Draw
884,-1,0,0,14,31,51,90,1,0,Loss
885,1,0,0,17,18,45,0,0,1,Loss
886,1,0,0,19,20,53,36,0,1,Win
887,0,0,0,15,26,63,51,1,0,Loss
888,1,0,0,7,17,41,0,0,1,Win
889,0,0,0,20,17,45,45,1,0,Loss
890,0,0,0,21,14,0,51,0,0,Win
891,0,0,0,12,25,41,50,0,1,Draw
892,0,0,0,17,22,0,53,1,0,Draw
893,1,0,0,24,28,86,72,0,1,Loss
894,-1,0,0,21,29,36,62,1,0,Loss
895,1,0,0,24,19,0,41,0,1,Win
896,0,0,0,13,14,41,51,0,0,Win
897,2,0,0,34,16,90,0,0,1,Win
898,0,0,0,18,31,0,72,1,0,Draw
899,1,0,0,37,11,83,41,0,1,Win
900,1,0,0,24,18,86,45,0,1,Win
901,1,0,0,27,26,51,50,0,1,Win
902,0,0,0,32,21,62,45,0,0,Win
903,-1,0,0,19,30,41,51,1,0,Loss
904,1,0,0,23,37,53,90,0,1,Win
905,1,0,0,26,21,50,36,0,1,Win
906,1,0,0,32,17,72,35,0,1,Win
907,1,0,0,16,19,0,0,0,1,Win
908,0,0,0,17,27,63,0,0,1,Draw
909,1,0,0,14,40,51,83,0,1,Draw
910,1,0,1,11,27,41,86,0,1,Win
911,0,0,0,35,35,72,62,0,0,Win
912,-1,0,0,17,37,35,90,1,0,Loss
913,0,0,0,28,41,0,83,0,0,Draw
914,0,0,0,26,33,53,51,0,0,Draw
915,1,0,0,15,14,51,41,0,1,Win
916,0,0,0,20,22,41,36,1,0,Draw
917,-1,0,0,42,27,83,53,1,0,Win
918,0,0,0,19,20,63,0,0,0,Win
919,2,0,0,35,21,50,41,0,1,Win
920,0,0,0,41,22,72,63,1,0,Draw
921,1,0,0,32,43,0,90,0,1,Draw
922,3,0,0,21,27,45,53,0,1,Win
923,-2,0,0,14,38,41,72,1,0,Loss
924,3,0,0,40,19,90,45,0,1,Win
925,0,0,0,35,30,62,86,1,0,Loss
926,1,0,0,17,17,41,35,0,1,Draw
927,1,0,0,34,18,51,51,0,1,Win
928,0,0,0,14,19,41,51,1,0,Draw
929,0,0,0,19,37,0,86,0,0,Draw
930,1,0,0,18,20,41,0,0,1,Win
931,1,0,0,38,27,51,53,0,1,Win
932,1,0,0,47,19,90,35,0,1,Win
933,-1,0,0,45,18,72,41,1,0,Win
934,1,0,0,34,38,86,51,0,1,Win
935,0,0,0,35,18,62,51,0,0,Draw
936,1,0,0,21,27,41,53,0,1,Win
937,-1,0,0,18,42,41,72,1,0,Loss
938,0,0,0,24,33,45,86,1,0,Draw
939,4,0,0,45,23,83,36,0,1,Win
940,0,0,0,36,48,62,72,0,0,Draw
941,2,0,0,48,33,83,0,0,1,Win
942,0,0,0,33,41,0,51,1,0,Draw
943,-2,0,0,27,37,53,62,1,0,Loss
944,1,0,0,19,20,35,0,0,1,Draw
945,1,0,0,38,21,86,41,0,1,Win
946,0,0,0,20,27,51,41,0,0,Draw
947,2,0,0,38,15,50,41,0,1,Win
948,-2,0,0,49,50,72,90,1,0,Loss
949,0,0,0,23,25,36,45,0,0,Draw
950,0,0,0,20,54,35,83,0,1,Draw
951,0,1,1,41,32,86,63,0,0,Win
952,0,0,0,21,30,41,53,0,0,Draw
953,1,0,0,20,21,0,51,0,1,Win
954,1,0,0,21,41,35,50,0,1,Win
955,2,0,0,53,15,90,41,0,1,Win
956,2,0,0,26,28,45,41,0,1,Win
957,-1,0,0,24,22,36,45,1,0,Draw
958,0,0,0,42,40,51,62,0,0,Draw
959,-1,1,1,15,25,41,36,1,0,Draw
960,1,0,0,23,29,45,45,0,1,Draw
961,0,0,0,30,44,45,50,0,0,Draw
962,0,0,0,49,44,72,86,0,0,Win
963,0,0,1,41,56,62,90,0,1,Draw
964,1,0,0,21,37,51,0,0,1,Win
965,1,0,0,21,43,0,51,0,1,Win
966,1,0,1,28,24,41,35,0,1,Win
967,1,0,0,32,58,63,83,1,0,Win
968,1,0,0,41,22,50,41,0,1,Win
969,0,0,0,24,22,45,41,0,0,Draw
970,0,0,0,35,57,63,90,1,0,Win
971,1,0,0,52,26,72,36,0,1,Win
972,1,0,0,24,24,51,35,0,1,Win
973,1,0,0,31,23,41,41,0,1,Win
974,0,0,0,42,23,62,0,1,0,Win
975,-1,0,0,34,37,53,0,1,0,Win
976,0,0,0,45,44,50,86,0,0,Draw
977,1,0,0,57,27,90,51,0,1,Win
978,1,0,0,37,25,0,45,0,1,Win
979,1,0,0,23,24,41,0,0,1,Win
980,0,0,0,61,46,83,50,0,1,Loss
981,2,0,0,38,24,63,35,0,1,Win
982,1,0,0,58,23,72,0,0,1,Win
983,-2,0,0,27,26,51,41,1,0,Loss
984,0,0,0,24,60,0,90,1,0,Loss
985,2,0,0,46,38,51,63,0,1,Win
986,1,0,0,45,34,86,41,0,1,Win
987,0,0,0,26,37,36,53,0,0,Draw
988,1,0,0,25,48,45,86,0,1,Win
989,-1,0,0,23,34,0,45,1,0,Draw
990,1,0,0,27,29,36,41,0,1,Win
991,-2,0,0,19,40,41,0,1,0,Loss
992,1,0,0,49,34,51,41,0,1,Win
993,0,0,0,63,38,90,53,0,0,Win
994,1,0,0,30,49,36,50,0,1,Draw
995,3,0,0,48,19,86,41,0,1,Win
996,0,0,0,28,46,45,62,1,0,Loss
997,-1,0,0,49,27,62,0,0,1,Draw
998,0,0,0,42,32,63,41,0,0,Win
999,0,0,0,19,24,41,35,1,0,Win
1000,0,0,0,36,52,45,51,1,0,Loss
1001,2,0,0,31,44,36,0,0,1,Win
1002,-1,0,0,27,28,51,0,1,0,Loss
1003,0,0,0,66,51,90,86,1,0,Win
1004,-2,0,0,38,50,53,50,1,0,Loss
1005,-1,0,0,34,64,41,83,1,0,Draw
1006,-1,0,0,53,45,50,63,1,0,Loss
1007,0,0,0,50,34,62,36,1,0,Draw
1008,-1,0,0,22,65,41,83,1,0,Loss
1009,1,0,0,68,51,83,62,0,1,Win
1010,1,0,0,24,38,35,53,0,1,Win
1011,2,0,0,55,22,51,41,0,1,Win
1012,0,0,0,27,36,51,45,1,0,Loss
1013,0,0,0,31,48,0,63,0,0,Draw
1014,-1,0,0,32,69,41,90,1,0,Loss
1015,2,0,0,51,35,86,36,0,1,Win
1016,0,0,0,44,67,0,72,1,0,Draw
1017,0,0,0,53,31,50,45,0,0,Win
1018,-1,0,0,24,38,0,41,1,0,Loss
1019,-1,0,0,72,71,90,83,1,0,Loss
1020,0,0,0,68,32,72,0,0,0,Win
1021,-1,0,0,32,51,41,62,1,0,Loss
1022,0,0,0,22,41,41,41,0,0,Draw
1023,1,0,0,39,27,45,35,0,1,Win
1024,3,0,0,35,58,36,51,0,1,Win
1025,-5,0,0,24,56,0,50,1,0,Loss
